destination : S    weight = 0   path = S

destination : V1    weight = 3   path = V1

destination : V2    weight = 2   path = V2

destination : V3    weight = 4   path = S->V1->V3

destination : V4    weight = 3   path = S->V2->V4

destination : V5    weight = 6   path = S->V1->V3->V5

destination : V6    weight = 4   path = S->V2->V6

destination : V7    weight = 5   path = S->V2->V4->V7

destination : V8    weight = 8   path = S->V2->V6->V8

destination : V9    weight = 8   path = S->V1->V3->V5->V9

destination : V10    weight = 6   path = S->V2->V4->V7->V10

destination : V11    weight = 11   path = S->V1->V3->V5->V9->V11

destination : V12    weight = 12   path = S->V1->V3->V5->V9->V11->V12

destination : V13    weight = 9   path = S->V2->V4->V7->V10->V13

destination : T    weight = 13   path = S->V2->V6->V8->T

DFS = S -> V2 -> V6 -> V8 -> T -> V10 -> V13 -> V4 -> V7 -> V9 -> V11 -> V12 -> V1 -> V3 -> V5
